episode,run_episode,total_steps,reward,average_waiting_time,epsilon,average_loss,memory_size
1,1,12000,-3353.932000000004,2856.14072119613,0.05,1.6782886951729872,1137
2,2,12000,-417.19700000000034,286.57105492589363,0.05,0.7599199406198553,2284
3,3,12000,-354.1049999999997,230.021815008726,0.05,0.39415791177273735,3430
4,4,12000,-400.66399999999993,269.5755458515284,0.05,0.26612809629191736,4575
5,5,12000,-353.4039999999987,230.0819529206626,0.05,0.20520905488874655,5722
6,1,12000,-239.20800000000008,99.82918149466192,0.05,0.17217108498665495,6846
7,2,12000,-239.13599999999974,104.2872340425532,0.05,0.1443923572338424,7974
8,3,12000,-244.3509999999996,101.47147950089126,0.05,0.11799580423923378,9096
9,4,12000,-253.6200000000004,112.20640569395017,0.05,0.10737924901329418,10220
10,5,12000,-235.62599999999964,104.5362831858407,0.05,0.09883121166963427,11350
