mode,vehicle_id,depart_time,arrival_time,travel_time
dql,test_be_000,90.00,746.00,656.00
dql,test_be_001,396.00,1067.00,671.00
dql,test_be_002,426.00,1074.00,648.00
dql,test_be_003,473.00,1237.00,764.00
dql,test_be_004,526.00,1316.00,790.00
dql,test_be_005,763.00,1425.00,662.00
dql,test_be_006,790.00,1543.00,753.00
dql,test_be_007,1053.00,1771.00,718.00
dql,test_be_008,1288.00,2038.00,750.00
dql,test_be_009,1405.00,2124.00,719.00
dql,test_be_010,1483.00,2360.00,877.00
dql,test_be_011,1527.00,2310.00,783.00
dql,test_be_012,1604.00,2537.00,933.00
dql,test_be_013,1675.00,2368.00,693.00
dql,test_be_014,1845.00,2682.00,837.00
dql,test_be_015,2587.00,3400.00,813.00
dql,test_be_016,2737.00,3560.00,823.00
dql,test_be_017,2867.00,3701.00,834.00
dql,test_be_018,3369.00,4070.00,701.00
dql,test_be_019,3573.00,4277.00,704.00
dql,test_be_020,3602.00,4342.00,740.00
dql,test_be_021,3738.00,4488.00,750.00
dql,test_be_022,3749.00,4413.00,664.00
dql,test_be_023,3766.00,4410.00,644.00
dql,test_be_024,3829.00,4676.00,847.00
dql,test_be_025,3915.00,4657.00,742.00
dql,test_be_026,3935.00,4678.00,743.00
dql,test_be_027,4004.00,4686.00,682.00
dql,test_be_028,4217.00,4912.00,695.00
dql,test_be_029,4460.00,5166.00,706.00
dql,test_be_030,4489.00,5141.00,652.00
dql,test_be_031,4527.00,5248.00,721.00
dql,test_be_032,4532.00,5245.00,713.00
dql,test_be_033,4669.00,5312.00,643.00
dql,test_be_034,4704.00,5379.00,675.00
dql,test_be_035,4922.00,5631.00,709.00
dql,test_be_036,5298.00,6141.00,843.00
dql,test_be_037,5318.00,6075.00,757.00
dql,test_be_038,5675.00,6405.00,730.00
dql,test_be_039,5737.00,6482.00,745.00
dql,test_be_040,6121.00,6735.00,614.00
dql,test_be_041,6216.00,6831.00,615.00
dql,test_be_042,6349.00,7036.00,687.00
dql,test_be_043,6367.00,7027.00,660.00
dql,test_be_044,6402.00,6975.00,573.00
dql,test_be_045,6626.00,7399.00,773.00
dql,test_be_046,6702.00,7359.00,657.00
dql,test_be_047,7088.00,7771.00,683.00
dql,test_be_048,7090.00,7685.00,595.00
dql,test_be_049,7667.00,8222.00,555.00
dql,test_be_050,8463.00,9069.00,606.00
dql,test_be_051,8547.00,9211.00,664.00
dql,test_be_052,8888.00,9508.00,620.00
dql,test_be_053,8987.00,9555.00,568.00
dql,test_be_054,9118.00,9827.00,709.00
dql,test_be_055,9230.00,9808.00,578.00
dql,test_be_056,9310.00,9945.00,635.00
dql,test_be_057,9378.00,9946.00,568.00
dql,test_be_058,9639.00,10258.00,619.00
dql,test_be_059,9746.00,10343.00,597.00
dql,test_be_060,9829.00,10524.00,695.00
dql,test_be_061,10055.00,10614.00,559.00
dql,test_be_062,10162.00,10898.00,736.00
dql,test_be_063,10337.00,10987.00,650.00
dql,test_be_064,10484.00,11099.00,615.00
dql,test_be_065,10647.00,11285.00,638.00
dql,test_be_066,10703.00,11395.00,692.00
dql,test_be_067,10715.00,11397.00,682.00
dql,test_be_068,10867.00,11531.00,664.00
dql,test_be_069,10909.00,11559.00,650.00
dql,test_be_070,11010.00,11715.00,705.00
dql,test_be_071,11405.00,11966.00,561.00
dql,test_be_072,11551.00,12186.00,635.00
dql,test_be_073,11778.00,12374.00,596.00
dql,test_be_074,11882.00,12490.00,608.00
dql,test_be_075,12266.00,12991.00,725.00
dql,test_be_076,12278.00,12992.00,714.00
dql,test_be_077,12399.00,13116.00,717.00
dql,test_be_078,13034.00,16485.00,3451.00
dql,test_be_079,13291.00,16488.00,3197.00
dql,test_be_080,13540.00,16529.00,2989.00
dql,test_be_081,13560.00,16490.00,2930.00
dql,test_be_082,13614.00,16497.00,2883.00
dql,test_be_083,13939.00,16498.00,2559.00
dql,test_be_084,14170.00,16504.00,2334.00
dql,test_be_085,14247.00,16500.00,2253.00
dql,test_be_086,14450.00,16508.00,2058.00
dql,test_be_087,14467.00,16520.00,2053.00
dql,test_be_088,14741.00,17081.00,2340.00
dql,test_be_089,14991.00,18313.00,3322.00
dql,test_be_090,15080.00,18319.00,3239.00
dql,test_be_091,15374.00,18305.00,2931.00
dql,test_be_092,15704.00,19860.00,4156.00
dql,test_be_093,15821.00,19858.00,4037.00
